Script;Name;InstrumentCode;OrderPrice;TargetPrice;SL;LotSize
MindTree;Mindtree;3675137;480;456;100;1200
HindHP;HindustanPetroleum;359937;440;420;100;1575
Reliance;RelianceIndustries;738561;898;866;100;1000
Colgate;Colgate;3876097;1015;966;100;700
IBR;IBR;3699201;220;212;100;2500
Havells;Havells;2513665;511;485;100;2000
CenturyTextiles;CenturyTextiles;160001;1325;1288;100;550
EingineersIndia;EIL;1256193;188;177;100;3500
IRB;IRB;3920129;225;215;100;2500
SunTV;SunTV;3431425;870;820;100;1000
BEL;BEL;98049;178;169;100;4950
Bata;Bata;94977;740;696;100;1100
NIFTY;NIFTY;256265;10300;10220;10320;75
BANKNIFTY;BANKNIFTY;260105;25700;25000;25750;40